time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
3666667776.000000,0.025730,-0.627661,0.000618,-2.261895,0.006846,1.909713,0.726988
3699878400.000000,0.032590,-0.598216,0.000671,-2.246257,0.009329,1.948318,0.726400
3733429248.000000,0.040423,-0.567096,0.000716,-2.229258,0.011964,1.980890,0.726400
3766565888.000000,0.048562,-0.533819,0.000728,-2.210449,0.012935,2.008397,0.726418
3800080128.000000,0.056492,-0.498493,0.000819,-2.189435,0.012897,2.031361,0.726437
3833510400.000000,0.063540,-0.461303,0.000818,-2.166050,0.012892,2.049335,0.726463
3866863872.000000,0.069401,-0.421916,0.000782,-2.139445,0.012886,2.062239,0.726706
3900140800.000000,0.073988,-0.380670,0.000818,-2.110464,0.012890,2.068494,0.727021
3933313536.000000,0.077666,-0.337656,0.000825,-2.078902,0.012970,2.068628,0.727261
3966695168.000000,0.081064,-0.293378,0.000895,-2.045969,0.013088,2.068115,0.727389
4000045056.000000,0.084629,-0.248257,0.001063,-2.011648,0.013253,2.067763,0.727412
4034429440.000000,0.088167,-0.202717,0.001461,-1.975800,0.013469,2.067563,0.727497
4066763264.000000,0.091888,-0.157415,0.001856,-1.939008,0.013598,2.066951,0.727500
4100262656.000000,0.095833,-0.112725,0.002197,-1.901479,0.013671,2.066083,0.727485
4133635328.000000,0.095833,-0.112725,0.002197,-1.901479,0.013671,2.066083,0.727485
4166640640.000000,0.099913,-0.068521,0.002642,-1.863689,0.013748,2.065007,0.727499
4199892480.000000,0.103991,-0.024992,0.003181,-1.825936,0.013850,2.064135,0.727465
4233295360.000000,0.108307,0.018026,0.003540,-1.788971,0.014200,2.062708,0.727422
4266580992.000000,0.112297,0.060071,0.003832,-1.753135,0.014811,2.060429,0.727194
4299911680.000000,0.115742,0.100992,0.004047,-1.718426,0.015502,2.057237,0.726610
4333322240.000000,0.118965,0.141190,0.004176,-1.684934,0.016437,2.051852,0.725802
4366618112.000000,0.121950,0.180224,0.004241,-1.652286,0.017929,2.043210,0.723277
4400247808.000000,0.124320,0.217997,0.004402,-1.620641,0.020279,2.032243,0.719854
4433278976.000000,0.125989,0.254284,0.004511,-1.589880,0.023935,2.017300,0.716074
4466573056.000000,0.126851,0.289170,0.004590,-1.559885,0.027327,1.999671,0.713244
4500047104.000000,0.127120,0.322569,0.004605,-1.531346,0.030691,1.980480,0.712913
4533245952.000000,0.126909,0.354418,0.004565,-1.503822,0.034573,1.961221,0.712932
4566808064.000000,0.126049,0.384516,0.004568,-1.477271,0.039123,1.943372,0.712889
4600191488.000000,0.124830,0.412405,0.004551,-1.451754,0.044027,1.926501,0.712427
4633500160.000000,0.123392,0.438051,0.004546,-1.427442,0.048396,1.910688,0.711291
4666975232.000000,0.121978,0.461092,0.004531,-1.404137,0.052767,1.895519,0.709194
4700136192.000000,0.120691,0.481627,0.004478,-1.382164,0.057422,1.881382,0.707215
4733193728.000000,0.119467,0.499432,0.004442,-1.361590,0.062244,1.868193,0.705955
4766702080.000000,0.118337,0.514856,0.004438,-1.343547,0.066161,1.856054,0.705865
4800103936.000000,0.117342,0.527605,0.004428,-1.327977,0.069572,1.844547,0.705953
4833899776.000000,0.116417,0.538106,0.004384,-1.315361,0.071349,1.835370,0.705972
4866926592.000000,0.115458,0.546049,0.004317,-1.304972,0.071551,1.827701,0.705977
4900203008.000000,0.114414,0.551842,0.004313,-1.297619,0.071552,1.822800,0.705971
4933332480.000000,0.113304,0.555049,0.004323,-1.293270,0.071559,1.819563,0.706002
4966675968.000000,0.112215,0.556092,0.004318,-1.291029,0.071579,1.817039,0.706005
5000050176.000000,0.111284,0.555786,0.004315,-1.289667,0.071577,1.814621,0.706193
5033376768.000000,0.110468,0.555105,0.004311,-1.288062,0.071578,1.812200,0.706813
5066611456.000000,0.109728,0.554114,0.004307,-1.286527,0.071576,1.810045,0.707389
5099916544.000000,0.109057,0.552855,0.004306,-1.285376,0.071577,1.808452,0.707563
5133420032.000000,0.108582,0.551388,0.004308,-1.284775,0.071580,1.807686,0.707547
5166707968.000000,0.108493,0.549773,0.004319,-1.284643,0.071588,1.807434,0.707550
5199934464.000000,0.108722,0.548187,0.004373,-1.284641,0.071599,1.807353,0.707550
5233298944.000000,0.109269,0.546643,0.004426,-1.284644,0.071616,1.807239,0.707530
5266629632.000000,0.110074,0.545162,0.004666,-1.284649,0.071762,1.806735,0.707521
5299901952.000000,0.111314,0.543690,0.005372,-1.284647,0.072398,1.805245,0.707521
5333473024.000000,0.112988,0.542294,0.007029,-1.284638,0.073409,1.802776,0.707528
5366598144.000000,0.115154,0.540988,0.009764,-1.284599,0.074544,1.799340,0.707528
5400071936.000000,0.117721,0.539868,0.014111,-1.284525,0.076489,1.794999,0.707521
5433603584.000000,0.120825,0.538931,0.020349,-1.284431,0.078990,1.790441,0.707528
5466532352.000000,0.124662,0.538183,0.028635,-1.284433,0.082136,1.786150,0.707548
5500108544.000000,0.129116,0.537643,0.039148,-1.284425,0.084707,1.782599,0.707575
5533461248.000000,0.134612,0.537272,0.051599,-1.284410,0.086235,1.779807,0.707575
5566744576.000000,0.141013,0.536918,0.065505,-1.284369,0.086491,1.778242,0.707551
5599960576.000000,0.148264,0.536533,0.080781,-1.284052,0.086488,1.778160,0.707418
5633280768.000000,0.156245,0.536139,0.097137,-1.283349,0.086483,1.778152,0.707120
5666965504.000000,0.165503,0.535437,0.114416,-1.282704,0.086468,1.778158,0.707112
5700157440.000000,0.175609,0.534546,0.132207,-1.281942,0.086464,1.778168,0.706971
5733291008.000000,0.186703,0.533373,0.150069,-1.281068,0.086419,1.778164,0.706821
5766674688.000000,0.198729,0.531780,0.167700,-1.280137,0.086324,1.778167,0.706782
5800042496.000000,0.211268,0.529926,0.184942,-1.279081,0.086259,1.778160,0.706733
5833348608.000000,0.211268,0.529926,0.184942,-1.279081,0.086259,1.778160,0.706733
5866616832.000000,0.224427,0.527964,0.200950,-1.277668,0.085822,1.778153,0.706749
5899802624.000000,0.238351,0.526073,0.214603,-1.275584,0.084809,1.778174,0.706846
5933358592.000000,0.252575,0.524294,0.225177,-1.272846,0.083446,1.778347,0.707344
5966761216.000000,0.266739,0.522468,0.232404,-1.269411,0.082709,1.779046,0.707763
6000042496.000000,0.280868,0.520646,0.236069,-1.265054,0.082678,1.779511,0.708009
6033340928.000000,0.294715,0.519106,0.237209,-1.259364,0.082681,1.779505,0.708014
6066598912.000000,0.307141,0.517497,0.237264,-1.253460,0.082669,1.779434,0.708116
6099884800.000000,0.317780,0.516113,0.237275,-1.247354,0.082672,1.779037,0.708482
6133293824.000000,0.326702,0.514756,0.237283,-1.241802,0.082689,1.778806,0.708634
6166683904.000000,0.334032,0.513511,0.237305,-1.236657,0.082693,1.778806,0.708613
6200015872.000000,0.338185,0.512006,0.238674,-1.233877,0.082787,1.779013,0.708566
6233631744.000000,0.339655,0.511109,0.239794,-1.233885,0.082780,1.778985,0.708569
6266910976.000000,0.339849,0.511629,0.239919,-1.233976,0.082772,1.779017,0.708576
6300180480.000000,0.339270,0.512398,0.239614,-1.234639,0.082736,1.778914,0.708571
6333391360.000000,0.338977,0.512538,0.239619,-1.234556,0.082752,1.778932,0.708574
6366637824.000000,0.339004,0.512238,0.239694,-1.234431,0.082755,1.778947,0.708570
6400166912.000000,0.339194,0.512262,0.239786,-1.234361,0.082765,1.778957,0.708572
6433478144.000000,0.339260,0.512469,0.239784,-1.234464,0.082759,1.778944,0.708571
6467031552.000000,0.339135,0.512529,0.239721,-1.234487,0.082758,1.778944,0.708566
6500126976.000000,0.339004,0.512361,0.239722,-1.234406,0.082761,1.778961,0.708570
6533539328.000000,0.338998,0.512380,0.239720,-1.234414,0.082758,1.778958,0.708571
6566739968.000000,0.339053,0.512510,0.239739,-1.234468,0.082756,1.778950,0.708577
6599972352.000000,0.339062,0.512490,0.239744,-1.234481,0.082758,1.778944,0.708574
6633317120.000000,0.339099,0.512389,0.239762,-1.234424,0.082761,1.778956,0.708574
6666624768.000000,0.339094,0.512404,0.239759,-1.234434,0.082758,1.778952,0.708572
6699924736.000000,0.339039,0.512487,0.239731,-1.234456,0.082760,1.778951,0.708578
6733124608.000000,0.338972,0.512474,0.239695,-1.234470,0.082755,1.778947,0.708572
6766594816.000000,0.339051,0.512395,0.239741,-1.234424,0.082761,1.778959,0.708569
6800128256.000000,0.339157,0.512432,0.239780,-1.234447,0.082761,1.778951,0.708574
6833281536.000000,0.339190,0.512480,0.239759,-1.234457,0.082757,1.778953,0.708573
6866845952.000000,0.339078,0.512459,0.239717,-1.234457,0.082759,1.778949,0.708569
6900007168.000000,0.338974,0.512409,0.239712,-1.234438,0.082758,1.778954,0.708575
6933287424.000000,0.339035,0.512438,0.239732,-1.234434,0.082759,1.778950,0.708571
6966702592.000000,0.339111,0.512477,0.239762,-1.234470,0.082760,1.778949,0.708571
7000224256.000000,0.339114,0.512428,0.239760,-1.234449,0.082761,1.778954,0.708567
7033739520.000000,0.339042,0.512417,0.239732,-1.234440,0.082758,1.778954,0.708576
7066932992.000000,0.339019,0.512462,0.239720,-1.234448,0.082758,1.778952,0.708575
7100212736.000000,0.339054,0.512467,0.239730,-1.234451,0.082756,1.778948,0.708574
7133327872.000000,0.339087,0.512429,0.239745,-1.234449,0.082761,1.778954,0.708573
7166658048.000000,0.339089,0.512425,0.239750,-1.234440,0.082762,1.778956,0.708572
7199951360.000000,0.339060,0.512464,0.239733,-1.234451,0.082758,1.778950,0.708569
7233413120.000000,0.339016,0.512462,0.239714,-1.234441,0.082757,1.778956,0.708572
7266880512.000000,0.339044,0.512415,0.239724,-1.234430,0.082758,1.778961,0.708577
